id,split
8030,train
8423,train
3422,train
7841,train
4465,train
7973,train
8138,train
412,train
2283,train
2926,train
4923,train
7009,train
2025,train
5955,train
2562,train
4308,train
1630,train
6477,train
8991,train
8459,train
9610,train
2212,train
9215,train
20,train
9791,train
7339,train
1857,train
5918,train
6493,train
8898,train
3040,train
4567,train
79,train
494,train
2190,train
4938,train
5243,train
9781,train
5968,train
9851,train
2008,train
2905,train
5261,train
4757,train
9132,train
8872,train
4396,train
3883,train
473,train
7637,train
809,train
2162,train
832,train
1955,train
469,train
2216,train
1726,train
4812,train
6134,train
1622,train
5862,train
9935,train
7122,train
4702,train
2064,train
2065,train
5134,train
6148,train
8857,train
1437,train
9927,train
8953,train
8892,train
6090,train
4098,train
4448,train
5786,train
8211,train
1898,train
1861,train
7365,train
8537,train
2116,train
6106,train
1619,train
9195,train
4220,train
956,train
4792,train
6647,train
4102,train
822,train
983,train
4841,train
8467,train
387,train
5917,train
1817,train
9882,train
5645,train
7551,train
7280,train
6767,train
9714,train
6207,train
5700,train
7272,train
9181,train
6923,train
4755,train
7937,train
2468,train
6300,train
4368,train
126,train
2522,train
4251,train
2434,train
2077,train
8750,train
813,train
8718,train
9363,train
7929,train
3534,train
5948,train
7685,train
4029,train
1147,train
9535,train
3932,train
5861,train
8522,train
217,train
9963,train
8475,train
5759,train
6624,train
3876,train
8496,train
9314,train
8926,train
4794,train
1765,train
3458,train
2316,train
9017,train
6677,train
3870,train
1184,train
8129,train
1533,train
8675,train
2738,train
7590,train
6152,train
627,train
6577,train
8483,train
9148,train
9138,train
73,train
1321,train
8575,train
5094,train
8628,train
6975,train
5469,train
1840,train
5283,train
3062,train
8921,train
5205,train
5113,train
2452,train
7019,train
1005,train
8133,train
7166,train
9883,train
4629,train
300,train
4822,train
3766,train
1695,train
9384,train
5557,train
3681,train
687,train
5931,train
2974,train
8593,train
8598,train
3116,train
1067,train
569,train
7100,train
3557,train
2393,train
6864,train
3160,train
2021,train
2044,train
9983,train
3539,train
8227,train
5182,train
9425,train
1851,train
9733,train
1665,train
3297,train
1547,train
1056,train
3355,train
9608,train
9105,train
9536,train
577,train
1681,train
4583,train
248,train
6059,train
3108,train
8744,train
1121,train
5970,train
5624,train
7840,train
8416,train
1130,train
2733,train
252,train
1164,train
3969,train
1396,train
9374,train
8313,train
8178,train
9309,train
2088,train
6641,train
994,train
4309,train
3012,train
1152,train
1160,train
4154,train
5525,train
7441,train
3929,train
9281,train
8300,train
4906,train
3952,train
2768,train
9929,train
8620,train
2505,train
3839,train
9188,train
4671,train
4353,train
1083,train
3069,train
2762,train
3407,train
9616,train
9486,train
769,train
5801,train
3244,train
9273,train
3861,train
7213,train
4801,train
8,train
2821,train
3592,train
